No.,Meaning,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
225,thick (not slender),growwe,i trashë,հաստ,মোটা,grubo,груб,espés,grub,drsný,tyk,grof,thick,épais,groso,grob,παχύς,જાડ,मोटा,þykkur,garbh,grosso,biezs,storas,дебели,जाड,मोटो,tykk,درانده,غلیظ,ordynarny,grosso,grosier,грубый,дебео,මහත,hrubý,debel,grueso,bred,товстий,کھردرا,braisg
226,thin (slender),dun,i hollë,բարակ,পাতলা,tanak,тънък,prim,tanak,jemný,tynd,dun,thin,mince,fino,Dünn,λεπτός,પાતળું,पतला,þunnur,tanaí,fine,tievs,plonas,тенок,पातळ,पातलो,tynn,پتلی,لاغر,chudy,fino,subţire,тонкий,танак,තුනී,tenký,tanek,delgado,smal,тонкий,باریک,tenau
227,clean,skoon,i pastër,մաքուր,পরিষ্কার,čist,чисти,net,čist,čistý,ren,schoon,clean,faire le ménage,limpar,sauber,καθαρός,ચોખ્ખો,साफ़,hreinn,glan,pulito,tīrs,švarus,чисти,स्वच्छ,सफा गर्नु,ren,پاک,تمیز,czysty,limpo,curat,лёгкий,чист,පිරිසිදු,čistý,čist,limpio,ren,чистий,صاف,glan
228,light,lig,i lehtë,թեթև,হালকা,svjetlo,светлина,llum,svjetlo,lehký,let,licht,light,léger,luz,leicht,φως,પ્રકાશ,हल्का,ljós,éadrom,leggero,gaisms,šviesas,светлина,प्रकाश,प्रकाश,lys,سپک,سبک,lekki,leve,ușoară,светлый,лак,සැහැල්ලු,ľahký,lahek,ligero,lätt,світлий,نرم,golau
229,cooked,gaar,i gatuar,եփած,সিদ্ধ,kuhano,варени,cuit,kuhani,vařený,kogt,gekookt,cooked,cuit,ben feito,gekocht,μαγείρευτος,રાંધેલ,पक्का,eldað,bruite,cotto,pagatavots,virtas,варен,शिजवलेले,पकाउनु,kokt,پاخه شوي,پخته,gotowany,cozinhar,gătit,варёный,куван,පිසූ,varený,kuhan,cocido,färdigkokt,приготований,پکا,wedi coginio
230,raw (not cooked),rou,i papërpunuar,հում,কাঁচা,sirov,суров,cru,sirov,syrový,rå,rauw,raw,cru,cru,roh,ωμός,કાચું,कच्चा,hrár,amh,crudo,jēs,žalias,суров,कच्चा,काँचो,rå,خام,خام,surowy,cru,crud,сырой,сиров,අමු,surový,surov,crudo,rå,сирий,کچا,amrwd
231,square,vierkante,katror,քառակուսի,বর্গক্ষেত্র,kvadrat,квадрат,quadrat,kvadrat,čtvercový,firkant,plein,square,carré,cadrado,Quadrat,τετράγωνο,ચોરસ,वर्ग,ferningur,cearnóg,quadrato,kvadrāts,kvadratas,квадрат,चौरस,वर्ग,torg,مربع,مربع,kwadrat,quadrado,pătrat,квадрат,квадрат,ඉරිමට්ටම,štvorec,kvadraten,cuadrado,fyrkant,площа,سمت,sgwar
232,chicken,hoender,pulë,հավ,মুরগি,kokoš,пиле,pollastre,piletina,kuře,kylling,kip,chicken,poulet,polo,Huhn,κοτόπουλο,ચિકન,मुर्गा,kjúklingur,sicín,pollo,vista,vištiena,пилешко,चिकन,कुखुराको मासु,kylling,چرګه,مرغ,kurczak,frango,pui,курица,пилетина,කුකුළා,kura,piščanec,pollo,kyckling,курка,مرغا,cyw
233,ox,os,ka,կով,ষাঁড়,bik,вол,bou,vol,vůl,okse,os,ox,boeuf,boi,Ochse,βόδι,બળદ,बैल,naut,damh,bue,vērsis,jautis,вол,बैल,गोरु,okse,غویی,گاو,wół,boi,bou,бык,говеда,ගවයා,vôl,vol,buey,oxe,віл,بیل,ych
234,horse,perd,kalë,ձի,ঘোড়া,konj,кон,cavall,konj,kůň,hest,paard,horse,cheval,cabalo,Pferd,άλογο,ઘોડો,घोड़ा,hestur,capall,cavallo,zirgs,arklys,коњ,घोडा,घोडा,hest,آس,اسب,koń,cavalo,cal,лошадь,коњ,අශ්වයා,kôň,konj,caballo,häst,кінь,گھوڑا,ceffyl
235,sheep,skape,dele,ոչխար,ভেড়া,ovce,овце,ovelles,ovce,ovce,får,schaap,sheep,mouton,ovella,Schaf,πρόβατο,ઘેટાં,भेड़,kind,caoirigh,pecora,aita,avis,овци,मेंढ्या,भेडा,sau,پسه,گوسفند,owce,ovelha,oaie,овца,овца,බයගුල්ලා,ovca,ovca,oveja,får,вівця,بھیڑ,defaid
236,goat,bok,dhi,այծ,ছাগল,koza,коза,cabra,koza,koza,ged,geit,goat,chèvre,cabra,Ziege,γίδα,બકરી,बकरा,geit,gabhar,capra,kaza,ožka,коза,शेळी,बाख्रा,geit,بزه,بز,koza,cabra,capră,козел,коза,එළුවා,koza,koza,cabra,get,коза,بکری,gafr
237,cat,kat,mace,կատու,বিড়াল,mačka,котка,gat,mačka,kočka,kat,kat,cat,chat,gato,Katze,γάτα,બિલાડી,बिल्ला,köttur,cat,gatto,kaķis,katė,мачка,मांजर,बिरालो,katt,پیشو,گربه,kot,gato,pisică,кот,мачка,පූසා,mačka,mačka,gato,katt,кіт,بلی,cath
238,mouse,muis,mi,մուկ,মাউস,miš,мишка,ratolí,miš,myš,mus,muis,mouse,souris,rato,Maus,ποντίκι,ઉંદર,चूहा,mús,luchóg,topo,pele,pelė,глувчето,उंदीर,मुसा,mus,موږک,موش,mysz,rato,șoarece,мышь,миш,මීයා,myš,miška,ratón,mus,миша,چوہا,llygoden
239,tiger,tiger,tigër,վագր,বাঘ,tigar,тигър,tigre,tigar,tygr,tiger,tijger,tiger,tigre,tigre,Tiger,τίγρη,વાઘ,बाघ,tígrisdýr,tíogair,tigre,tīģeris,tigras,тигар,वाघ,बाघ,tiger,پړانګ,ببر,tygrys,tigre,tigru,тигр,тигар,ව්‍යාඝ්‍රයා,tiger,tiger,tigre,tiger,тигр,چیتا,teigr
240,finger,vinger,gisht,մատ,আঙুল,prst,пръст на ръката,dit,prst,prst,finger,vinger,finger,doigt,dedo,Finger,δάχτυλο,આંગળી,उँगली,fingur,méar,dito,pirksts,pirštas,прст,बोट,औंला,finger,ګوته,انگشت,palec,dedo,deget,палец,прст,ඇඟිල්ල,prst,prst,dedo,finger,палець,انگلی,bys
241,stomach,maag,stomak,ստամոքս,পেট,želudac,стомах,estómac,želudac,žaludek,mave,maag,stomach,estomac,estómago,Magen,στομάχι,પેટ,पेट,magi,boilg,stomaco,kunģis,skrandis,стомакот,पोट,पेट,mage,معده,معده,brzuch,estômago,stomac,желудок,стомак,උදරය,žalúdok,želodec,estómago,mage,шлунок,معدہ,stumog
242,hair (on skin),hare,flokë,մազ,লোম,dlaka,коса,cabell,dlaka,chlup,hår,haar,hair,cheveu,cabelo,Haar,μαλλιά,વાળ,बाल,hár,gruaig,capello,mati,plaukai,влакна,केस,रौं,hår,ویښتان,مو,włosy,pêlos,păr,шерсть,крзно,රෝම,srsť,kožuh,pelo,hår,волосся,بال,gwallt
243,body,liggaam,trup,մարմին,শরীর,tijelo,тяло,cos,tijelo,tělo,legeme,lichaam,body,corps,corpo,Körper,σώμα,શરીર,तन,líkami,comhlacht,corpo,ķermenis,kūnas,тело,शरीर,शरीर,kropp,بدن,بدن,ciało,corpo,corp,тело,тело,ඇඟ,telo,telo,cuerpo,kropp,тіло,جسم,corff
244,run,hardloop,vrapoj,վազել,দৌড়ান,trčati,бягай,correr,trčati,běžet,løb,loop,run,courir,correr,laufen,τρέφω,દોડવું,दौड़ना,hlaupa,rith,correre,skriet,bėgti,трчај,धावणे,दौडने,løpe,منډې,دویدن,biegać,correr,a alerga,бежать,трчати,දුවනවා,bežať,teči,correr,springa,бігти,بهاگنا,hidlo
245,jump,spring,hipi,ցատկել,লাফ,skakati,скок,saltar,skočiti,skočit,hoppe,springen,jump,sauter,saltar,springen,πηδάω,કૂદી,कूदना,hoppa,léim,saltare,lēkt,šokinėti,скокаат,उडी,उफ्रने,hoppe,خیڅ وهل,جستن,skakać,saltar,a sari,прыгать,скочити,පනිනවා,skočiť,skok,saltar,hoppa,стрибати,چھلانگ,neidio
246,climb,klim,ngjit,մագլցել,আরোহণ,penjati,изкачвам се,escalar,penjati se,lézt,klatre,beklimmen,climb,monter,escalar,steigen,ανεβαίνω,ચઢવું,चढ़ना,klifra,tóg,salire,kāpt,lipti,се искачи,चढणे,आरोहण,klatre,پورته کېدل,بالا رفتن,wspinać się,subir,a urca,взбираться,попети се,නගිනවා,liezť,vzpeti se,trepar,klättra,підніматися,چڑھنا,dringo
247,go,gaan,shkoj,գնալ,যাওয়া,ići,отивам,anar,ići,jít,gå,gaan,go,aller,ir,gehen,πηγαίνω,જાઓ,जाना,fara,téigh,andare,iet,eiti,оди,जा,जानु,gå,تلل,رفتن,iść,ir,a merge,идти,ићи,යනවා,ísť,iti,ir,gå,йти,جانا,mynd
248,call,oproep,thërras,կանչել,কল,pozvati,обадете се,critar,pozvati,volat,kalde,telefoongesprek,call,appeler,chamar,rufen,καλώ,કૉલ,बुलाना,hringja,glaoigh,chiamare,saukt,vadinti,јавете се,कॉल,बोलाउनु,ringe,زنګ,صدا زدن,zadzwonić,chamar,a suna,звать,позвати,අමතනවා,volať,kričati,llamar,ringa,дзвонити,بلا نا,galw
249,cry,huil,qaj,լացել,কান্না,plakati,плача,plorar,plakati,plakat,græde,schreeuw,cry,pleurer,chorar,Weinen,κλαίγω,રડવું,रोना,gráta,caoin,piangere,raudāt,verkti,плаче,रडणे,रुनु,gråte,ژړل,گریه کردن,płakać,chorar,a striga,плакать,плакати,අඬනවා,plakať,jokati,llorar,gråta,плакати,رونا,crio
250,put,sit,vë,դնել,রাখা,staviti,слагам,posar,staviti,dát,sætte,neerzetten,put,mettre,poñer,stellen,βάζω,મૂકો,रखना,setja,cuir,mettere,likt,įdėti,стави,टाकणे,राख्नु,sette,واچول,گذاشتن,umieścić,pôr,a pune,ложить,ставити,තියනවා,položiť,dati,poner,sätta,класти,رکهنا,dodi
251,thirsty,dors,i etur,ծարավ,তৃষ্ণার্ত,žedan,жаден,assedegat,žedan,žíznivý,tørstig,dorstig,thirsty,assoiffé,sedento,durstig,διψασμένος,તરસ્યું,प्यासा,þyrstur,tart,assetato,izslāpis,ištroškęs,жеден,तहानलेला,तिर्खाएको,tørst,تږی,تشنه,spragniony,sedento,însetat,жаждущий,жедан,තිබහයි,smädný,žejen,sed,törstig,спраглий,پیاسا,sychedig
252,hungry,honger,i uritur,սոված,ক্ষুধার্ত,gladan,гладен,famolenc,gladan,hladový,sulten,hongerig,hungry,avoir faim,famento,hungrig,πεινασμένος,ભૂખ્યા,भूखा,svangur,ocras,affamato,izsalcis,alkanas,гладен,भुकेले,भोको,sulten,وږی,گرسنه,głodny,com fome,flămând,голодный,гладан,බඩගිනි,hladný,lačen,tener hambre,hungrig,голодний,بھوکا,newynog
253,swallow,sluk,gëlltit,կուլ տալ,গিলে ফেলা,progutati,поглъщам,empassar,lastavica,polykat,svale,slikken,swallow,avaler,tragar,schlucken,καταπίνω,ગળી જવું,निगलना,kyngja,slog,inghiottire,norīt,nuryti,проголта,गिळणे,निल्ने,svelge,تیریدل,فرو بردن,łyk,engolir,a înghite,глотать,прогутати,ගිල දමනවා,prehltnúť,požirati,tragar,svälja,ковтати,نگلنا,llyncu
254,awake,wakker,zgjoj,արթնանալ,জাগ্রত,budan,буден,despert,osvijestiti,probudit,vågen,wakker,awake,se réveiller,espertar,Erwachen,ξύπνιος,જાગૃત,जागना,vakandi,dúiseacht,svegliare,mosties,pabudęs,буден,जागे,ब्यूँझनु,våkne,ویښ,بیدار,obudzić,acordar-se,a trezi,бодрствовать,будан,ඇ‍හැරෙනවා,hore,buden,despertarse,vaken,прокинутися,بیدار,deffro
255,bathe,bad,bën banjë,լողանալ,স্নান,kupati,къпя се,banyar-se,kupka,koupat se,bade,zich baden,bathe,se baigner,bañarse,sich baden,λούτρο,સ્નાન,स्नान करना,baða,folcadh,farsi il bagno,peldēties,praustis,се искапе,आंघोळ,नुहाउनु,bade,حمام,شستشو کردن,kąpać się,banhar,a face baie,мыться,купати,ස්නානය කරන්න,kúpať sa,kopati se,bañarse,bada,приймати ванну,نہانا,golchi
256,get ill,siek raak,sëmurem,հիվանդանալ,অসুস্থ হওয়া,razboliti se,разболявам се,posar-se malalt,razboliti se,onemocnět,bliv syg,ziek worden,get ill,tomber malade,enfermarse,krank werden,αρρωσταίνω,બીમાર થવું,बीमार होना,veikjast,éirí tinn,ammalarsi,saslimt,sirgti,се разболи,आजारी पडणे,बिरामी हुनु,bli syk,ناروغه کېدل,مبتلا شدن,zachorować,ficar doente,a se îmbolnăvi,заболеть,разболети се,අසනීප වෙනවා,ochorieť,zboleti,enfermarse,bli sjuk,хворіти,بیمار ہونا,clafychu
257,like,soos,pëlqej,դուր գալ,পছন্দ,sviđati,харесвам,agradar,sviđati,líbit se,kan godt lide,leuk vinden,like,aimer,gustar,lieben,μου αρέσει ,ગમવું,पसंद करना,líka,mhaith,amare,patikt,mėgsti,допаѓа,आवडणे,मन पर्नु,like,خوښول,دوست داشتن,lubić,gostar,a iubi,любить,свиђати се,කැමති,páčiť sa,imeti rad,gustarse,tycka om,подобатися,پسند,hoffi
258,want,wil,dua,ուզել,চাই,željeti,искам,voler,željeti,chtít,vil have,wil,want,vouloir,querer,wollen,θέλω,માંગો છો,चाहना,vilja,ag iarraidh,volere,gribēt,norėti,сака,इच्छित,चाहनु,ønsker,غواړي,خواستن,chcieć,querer,a vrei,хотеть,желети,ආශා කරනවා,chcieť,želeti,querer,vilja,хотіти,چاہنا,eisiau
259,yesterday,gister,dje,երեկ,গতকাল,jučer,вчера,ahir,jučer,včera,i går,gisteren,yesterday,hier,onte,gestern,εχθές,ગઇકાલે,कल,í gær,inné,ieri,vakar,vakar,вчера,काल,हिजो,i går,پرون,دیروز,wczoraj,ontem,ieri,вчера,јуче,ඊයේ,včera,včeraj,ayer,i går,вчора,کل,ddoe
260,today,vandag,sot,այսօր,আজ,danas,днес,avui,danas,dnes,i dag,vandaag,today,aujourd'hui,hoxe,heute,σήμερα,આજે,आज,í dag,inniu,oggi,šodien,šiandien,денес,आज,आज,i dag,نن,امروز,dziś,hoje,azi,сегодня,данас,අද,dnes,danes,hoy,i dag,сьогодні,آج,heddiw
261,tomorrow,môre,nesër,վաղը,আগামীকাল,sutra,утре,demà,sutra,zítra,i morgen,morgen,tomorrow,demain,mañá,Morgen,αύριο,આવતીકાલે,कल,á morgun,amárach,domani,rīt,rytoj,утре,उद्या,भोली,i morgen,سبا,فردا,jutro,amanhã,mâine,завтра,сутра,හෙට,zajtra,jutri,mañana,i morgon,завтра,کل,yfory
262,before,voor,para,առաջ,আগে,prije,преди,abans,prije,předtím,før,voordat,before,avant,antes,Vor,πριν,પહેલાં,इससे पहले,áður,roimh,prima,pirms tam,prieš,пред,आधी,पहिले,før,مخکې,قبل,zanim,antes,înainte de,до,пре,පෙර,predtým,prej,antes,innan,раніше,پہلے,o'r blaen
263,now,nou,tani,հիմա,এখন,sada,сега,ara,sada,nyní,nu,nu,now,à présent,agora,jetzt,τώρα,હવે,अभी,núna,anois,adesso,tagad,dabar,сега,आता,अब,nå,اوس,اکنون,teraz,agora,acum,сейчас,сада,දැන්,teraz,zdaj,ahora,nu,зараз,ابھی,yn awr
264,later,later,më vonë,հետո,পরে,kasnije,по късно,més tard,kasnije,později,senere,later,later,plus tard,despois,later,αργότερα,પાછળથી,बाद में,síðar,níos déanaí,dopo,vēlāk,vėliau,подоцна,नंतर,पछि,senere,وروسته,بعد,później,mais tarde,mai târziu,потом,касније,පස්සේ,neskôr,kasneje,posterior,senare,пізніше,بعد میں,yn ddiweddarach
265,time,tyd,kohë,ժամանակ,সময়,vrijeme,време,temps,vrijeme,čas,tid,tijd,time,temps,tempo,Zeit,χρόνος,સમય,समय,tími,am,tempo,laiks,laikas,време,वेळ,समय,tid,وخت,زمان,czas,tempo,timp,время,време,වෙලා,čas,čas,tiempo,tid,час,وقت,amser
266,up,op,lart,վերև,উপর,gore,нагоре,amunt,gore,horní,op,omhoog,up,en haut,arriba,oben,πάνω,ઉપર,उपर,upp,suas,su,augšējais,aukštyn,нагоре,वर,माथि,opp,پورته,بالا,w górę,acima,sus,верх,горе,උඩ,hore,gor,arriba,upp,вгору,اوپر,i fyny
267,middle,sentrum,mes,կենտրոն,মধ্যম,sredina,среден,mig,sredina,střední,midten,midden,center,milieu,medio,Mitte,μέση,મધ્ય,मध्य,miðja,lár,mezzo,vidus,centras,средината,मध्य,बीच,senter,منځ,وسط,środek,meio,mijloc,середина,средина,මැද,stred,sredina,medio,mitt,середина,درمیانی,canol
268,down,af,poshtë,ներքև,নিচে,dolje,надолу,cap avall,dolje,dolní,ned,omlaag,down,en bas,abaixo,Nieder,κάτω,નીચે,नीचे,niður,síos,giù,zems,žemyn,надолу,खाली,तल,ned,ښکته,زیر,w dół,baixo,jos,низ,доле,පහළ,dole,dol,abajo,ner,вниз,نیچے,i lawr
269,east,oos,lindje,արևելք,পূর্ব,istok,изток,est,istok,východní,øst,oost,east,est,leste,Ost,ανατολή,પૂર્વ,पूर्व,austur,thoir,est,austrumi,rytai,исток,पूर्व,पूर्व,øst,ختیځ,شرق,wschód,leste,est,восток,исток,නැගෙනහිර,východ,vzhod,este,öster,схід,مشرق,dwyrain
270,west,wes,perëndim,արևմուտք,পশ্চিম,zapad,запад,oest,zapad,západní,vest,west,west,ouest,oeste,West,δυτική,પશ્ચિમ,पश्चिम,vestur,thiar,ovest,rietumi,vakarai,запад,पश्चिम,पश्चिम,vest,لویدیځ,غرب,zachód,oeste,vest,запад,запад,බටහිර,západ,zahod,oeste,väster,захід,مغرب,gorllewin
271,south,suid,jug,հարավ,দক্ষিণ,jug,юг,sud,jug,jižní,syd,zuiden,south,sud,sur,Süd,νότεια,દક્ષિણ,दक्षिण,suður,theas,sud,dienvidi,pietūs,југ,दक्षिण,दक्षिण,sør,سویل,جنوب,południe,sul,sud,юг,југ,දකුණු,juh,jug,sur,söder,південь,جنوب,de
272,north,noord,veri,հյուսիս,উত্তর,sjever,север,nord,sjever,severní,nord,noorden,north,nord,norte,Nord,βόρεια,ઉત્તર,उत्तर,norður,thuaidh,nord,ziemeļi,šiaurė,север,उत्तर,उत्तर,nord,شمال,شمال,północ,norte,nord,север,север,උතුරු,sever,sever,norte,norr,північ,شمال,gogledd
273,front,voorkant,përpara,առջև,সামনে,prednji,отпред,davant,ispred,přední,foran,voorkant,front,de face,diante,vorn,εμπρός,આગળ,सामने,framan,tosaigh,davanti,priekša,priekis,напред,समोर,अगाडि,front,مخکی,جلو,przód,frente,față,перед,испред,ඉදිරිපස,predok,spredaj,delante,främre,передній,سامنے,blaen
274,blue,blou,blu,կապույտ,নীল,plava,син,blau,plava,modrý,blå,blauw,blue,bleu,azul,blau,μπλε,વાદળી,नीला,blár,gorm,blu,zils,mėlynas,сина боја,निळा,निलो,blå,آبي,آبی,niebieski,azul,albastru,синий,плави,නිල්,modrý,moder,azul,blå,синій,نیلا,glas
275,meal,maaltyd,vakt,ճաշ,খাবার,obrok,хранене,menjar,obrok,jídlo,måltid,maaltijd,meal,repas,comida,Mahlzeit,γεύμα,ભોજન,भोजन,máltíð,béile,pasto,ēdiens,valgyti,оброк,जेवण,भोजन,måltid,خواړه,غذا,posiłek,refeição,masă,еда,оброк,වේලක්,jedlo,obrok,comida,måltid,їжа,کھانا,pryd
276,wine,wyn,verë,գինի,মদ,vino,вино,vi,vino,víno,vin,wijn,wine,vin,viño,Wein,κρασί,વાઇન,शराब,vín,fíona,vino,vīns,vynas,вино,वाइन,वाइन,vin,شراب,شراب,wino,vinho,vin,вино,вино,මත්පැන්,víno,vino,vino,vin,алкоголь,شراب,gwin
277,soup,sop,supë,ապուր,স্যুপ,supa,супа,sopa,juha,polévka,suppe,soep,soup,soupe,sopa,Suppe,σούπα,સૂપ,शोरबा,súpa,anraith,minestra,zupa,sriuba,супа,सूप,सुप,suppe,سوپ,سوپ,zupa,sopa,supă,суп,супа,සුප්,polievka,juha,sopa,soppa,суп,سوپ,cawl
278,oil,olie,vaj,յուղ,তেল,ulje,масло,oli,ulje,olej,olie,olie,oil,huile,aceite,Öl,λάδι,તેલ,तेल,olía,ola,olio,eļļa,aliejus,нафта,तेल,तेल,olje,تیل,روغن,olej,óleo,ulei,масло,уље,තෙල්,olej,olje,aceite,olja,масло,تیل,olew
279,house,huis,shtëpi,տուն,গৃহ,kuća,къща,casa,kuća,dům,hus,huis,house,maison,casa,Haus,σπίτι,ઘર,मकान,hús,teach,casa,māja,namas,куќа,घर,घर,hus,کور,خانه,dom,residência,casa,дом,кућа,නිවස,dom,hiša,casa,hus,будинок,گھر,tŷ
280,window,venster,dritare,պատուհան,জানলা,prozor,прозорец,finestra,prozor,okno,vindue,raam,window,fenêtre,fiestra,Fenster,παράθυρο,બારી,खिड़की,gluggi,fuinneoige,finestra,logs,langas,прозорец,खिडकी,सञ्झ्याल,vindu,کړکۍ,پنجره,okno,janela,fereastră,окно,прозор,කවුළුව,okno,okno,ventana,fönster,вікно,کھڑکی,ffenestr
281,door,deur,derë,դուռ,দরজা,vrata,врата,porta,vrata,dveře,dør,deur,door,porte,porta,Tür,πόρτα,દરવાજો,द्वार,hurð,doras,porta,durvis,duris,врата,दार,ढोका,dør,دروازه,در,drzwi,porta,uşă,дверь,врата,දොර,dvere,vrata,puerta,dörr,двері,دروازہ,drws
282,clothes,klere,rroba,հագուստ,বস্ত্র,odjeća,дрехи,roba,odjeća,oblečení,tøj,kleren,clothes,vêtements,roupa,Kleider,ρούχα,કપડાં,वस्त्र,föt,éadaí,abito,drēbes,drabužiai,алишта,कपडे,लुगाहरू,klær,جامې,لباس,odzież,roupas,haine,одежда,одећа,ඇඳුම,oblečenie,oblačila,ropa,kläder,одяг,کپڑے,dillad
283,cloth,lap,leckë,կտոր,কাপড়,krpa,плат,tela,krpa,tkanina,klud,lap,cloth,tissu,pano,Stoff,πανί,કાપડ,कपड़ा,klæði,éadach,stoffa,audums,audinys,крпа,कापड,कपडा,klut,ټوکر,پارچه,płótno,pano,pânză,ткань,тканина,රෙදි,plátno,prt,tela,trasa,тканина,کپڑا,brethyn
284,medicine,medisyne,ilaç,դեղ,ঔষধ,medicina,лекарство,medicament,lijek,lék,medicin,geneesmiddel,medicine,médicament,medicina,Medizin,φάρμακο,દવા,दवा,lyf,cógas,medicina,medicīna,vaistas,лек,औषध,औषधि,medisin,دارو,پزشکی,medycyna,remédio,medicament,лекарство,лек,බෙහෙත්,liek,zdravilo,medicamento,medicin,ліки,دوائی,meddygaeth
285,knife,mes,thikë,դանակ,ছুরি,nož,нож,ganivet,nož,nůž,kniv,mes,knife,couteau,coitelo,Messer,μαχαίρι,છરી,चाकू,hníf,scian,coltello,nazis,peilis,нож,चाकू,चक्कु,kniv,چاقو,چاقو,nóż,faca,cuţit,нож,нож,පිහිය,nôž,nož,cuchillo,kniv,ніж,چاقو,cyllell
286,bamboo,bamboes,bambu,բամբուկ,বাঁশ,bambus,бамбук,bambú,bambus,bambus,bambus,bamboe,bamboo,bambou,bambú,Bambus,μπαμπού,વાંસ,बांस,bambus,bambú,bambù,bambuss,bambukas,бамбус,बांबू,बाँस,bambus,بانس,بامبو,bambus,bambu,bambus,бамбук,бамбус,උණ බට,bambus,bambus,bambú,bambu,бамбук,بانس,bambŵ
287,lightning,weerlig,vetëtimë,կայծակ,বজ্র,munja,мълния,llamp,munja,blesk,lyn,bliksem,lightning,éclair,lóstrego,Blitz,αστραπή,વીજળી,आकाशीय बिजली,elding,tintreach,fulmine,zibens,žaibas,молња,वीज,चट्याङ,lyn,بریښنا,برق,błyskawica,relâmpago,fulger,молния,муња,අකුණ,blesk,strela,rayo,blixt,блискавка,بجلی,mellt
288,thunder,donderweer,bubullimë,ամպրոպ,বজ্র,grom,гръм,tro,grmljavina,hrom,torden,donder,thunder,tonnerre,trono,Donner,βροντή,ગર્જના,बिजली,þruma,toirneach,tuono,pērkons,griaustinis,гром,मेघगर्जना,गर्जन,torden,تندر,رعد,grzmot,trovão,tunet,гром,гром,ගිගුරුම,hrom,grmenje,trueno,åska,грім,گرج,taranau
289,sunny,sonnige,me diell,արևոտ,রোদ,sunčan,слънчево,assolellat,sunčano,slunný,solrig,zonnig,sunny,ensoleillé,soleado,sonnig,ηλιόλουστος,તડકો,धूपदार,sólríkur,grianmhar,soleggiato,saulains,saulėtas,сончево,सनी,घमाइलो,solfylt,لمر,آفتابی,słoneczny,ensolarado,însorită,солнечный,сунчан,පැහැදිලි,slnečný,sončno,soleado,solig,ясно,دھوپ,heulog
290,fart,fart,pordhë,հոտ հանել,চর্ম,prdež,пърдам,pet,prdnuti,prd,prut,scheet,fart,péter,peido,Furz,κλάνω,પાદ,अधोवायु,prump,broim,scoreggia,gāzes,bezdėjimas,прдеж,पादत्राणे,पाद्नु,promp,ټیز,گوز,pierdnięcie,peidar,bășina,пердеть,прдеж,අධෝවාතය,prd,prdec,pedo,fisa,випускати гази,پادنا,cnecian
291,urine,urine,urinë,մեզ,প্রস্রাব,urina,урина,orina,urin,moč,urin,urine,urine,urine,ouriños,Urin,ούρο,પેશાબ,मूत्र,þvagi,fual,urina,urīns,šlapimas,урината,मूत्र,पिसाब,urin,متیازی,ادرار,mocz,urina,urină,моча,урин,නරදිය,moč,urin,orina,urin,сеча,پیشاب,troeth
292,shit,poep,mut,կեղտ,বিষ্ঠা,sranje,мамка му,merda,sranje,hovno,lort,shit,shit,excrément,feces,Scheisse,σκατά,છી,मल,skítur,cac,merda,mēsli,šūdas,срање,बकवास,बकवास,dritt,اطراح,گه,gówno,merda,rahat,дерьмо,говно,ජරාව,hovno,drek,mierda,skit,лайно,پاخانہ,cachu
293,true,waar,i vërtetë,ճշմարիտ,সত্য,istinit,вярно,veritat,istinit,skutečný,rigtig,waar,true,vrai,verdadeiro,wahr,αληθινός,સાચું,सच,sannur,fíor,vero,patiess,tikras,вистина,खरे,साँचो हो,ekte,ریښتیا,واقعی,prawda,verdadeiro,adevărat,истинный,прав,ඇත්ත,pravdivý,prav,verdadero,sann,справжній,ا صلی,gwir
294,false,valse,i rremë,կեղծ,নকল,lažan,фалшива,fals,lažan,falešný,falsk,vals,false,faux,falso,falsch-künstlich,ψεύτικος,ખોટું,नकली,falskur,bréagach,falso,viltots,klaidingas,лажни,खोटे,असत्य,falsk,جعل,نادرست,podróbka,falso,fals,ложный,лажан,බොරු,falošný,lažen,falso,falsk,несправжній,جعلی,annilys
295,wrong,verkeerd,gabim,սխալ,ভুল,pogrešan,погрешно,mal,pogrešan,nesprávný,forkert,mis,wrong,fausse,errado,falsch,λανθασμένος,ખોટું,गलत,rangur,mícheart,sbagliato,nepareizs,neteisingas,погрешно,चुकीचे,गलत,feil,غلط,غلط,zły,errado,greșit,неправильный,погрешан,වැරදි,nesprávny,napačen,equivocado,fel,неправильно,غلط,anghywir
296,be,is,jam,լինել,হওয়া,biti,бъда,ser,biti,být,være,zijn,be,être,ser,sein,είναι,હોવું,होना,vera,bí,essere,būt,būti,биди,असणे,हो,være,وي,بودن,być,ser,a fi,быть,бити,ය,byť,biti,ser,vara,бути,ہونا,bod
297,believe,glo,besoj,հավատալ,বিশ্বাস,vjerovati,вярвам,creure,vjerovati,věřit,tro på,geloven,believe,croire,crer,glauben,πιστεύω,વિશ્વાસ,विश्वास करना,trúa,creid,credere,ticēt,tikėti,верувајте,विश्वास,विश्वास गर्नु,tro,باور,باور کردن,uwierzyć,acreditar,a crede,полагать,веровати,විශ්වාස කරනවා,veriť,verjeti,creer,tro,вірити,یقین,credu
